timestamp,reaction_time,stimulus_type,stimulus_color
2025-01-21 08:51:43.328188,47.06144332885742,square,green
2025-01-21 08:51:46.095902,465.3599262237549,square,green
2025-01-21 10:51:58.081701,615.6449317932129,circle,blue
2025-01-21 10:52:02.998604,140.75326919555664,square,blue
2025-01-21 10:52:05.227460,139.02592658996582,cross,red
2025-01-21 10:52:07.283791,0.0,square,blue
2025-01-21 10:52:09.950550,469.09499168395996,cross,yellow
2025-01-21 10:52:12.807997,794.7959899902344,cross,red
2025-01-21 10:52:15.178687,187.57939338684082,square,blue
2025-01-21 10:52:17.550461,93.30296516418457,circle,yellow
2025-01-21 10:52:28.382564,1152.7585983276367,cross,yellow
2025-01-21 10:52:33.532728,419.37828063964844,cross,yellow
2025-01-21 10:52:37.179253,1165.086269378662,square,green
2025-01-21 10:52:39.859798,486.05895042419434,cross,yellow
2025-01-21 10:52:42.576026,463.1221294403076,square,green
2025-01-21 10:52:45.335226,372.1804618835449,circle,blue
2025-01-21 10:52:48.019184,530.4253101348877,circle,blue
2025-01-21 10:52:51.076610,467.94629096984863,circle,red
2025-01-21 10:52:53.908517,520.3878879547119,circle,blue
2025-01-21 10:52:56.921639,626.1129379272461,circle,blue
2025-01-21 10:52:59.529092,191.91575050354004,circle,green
2025-01-21 10:53:02.126373,138.66710662841797,cross,red
2025-01-21 10:53:05.185747,513.9353275299072,square,green
2025-01-21 10:53:07.918597,376.67393684387207,circle,green
2025-01-21 10:53:10.931580,517.5254344940186,cross,green
2025-01-21 10:53:13.878218,375.6749629974365,square,green
2025-01-21 10:53:17.018107,422.0540523529053,circle,red
2025-01-21 10:53:20.055297,373.37303161621094,circle,blue
2025-01-21 10:53:22.738007,561.5243911743164,square,yellow
2025-01-21 10:53:59.265239,0.0,cross,red
2025-01-21 10:54:01.679759,0.0,circle,red
